AccountID,CardNumber,CardType,ExpiryDate,CVV,Status
128,3983504186557743,Debit,2028-12-07,649,Active
129,6936093880923639,Debit,2031-07-07,276,Active
130,4499319608095736,Debit,2029-10-08,517,Active
131,7377216663073311,Debit,2029-02-14,117,Active
132,9177680649605919,Debit,2031-09-05,194,Active
133,7460555466988792,Debit,2027-03-26,705,Blocked
134,4335710141837276,Debit,2027-05-25,454,Active
135,3312834256454865,Debit,2027-05-12,210,Active
136,0036328550051464,Credit,2031-09-17,160,Active
137,9328499442347781,Debit,2031-03-02,230,Active
138,8833517209292541,Debit,2027-03-08,636,Active
139,0626119544219996,Credit,2030-08-23,256,Active
140,3612147920604782,Debit,2030-02-17,644,Active
141,5198317198649438,Debit,2029-12-04,972,Active
142,1377735521184761,Debit,2028-02-06,307,Active
143,4031795718749866,Debit,2028-11-06,149,Active
144,6481287309870181,Debit,2029-02-12,828,Active
145,8033049339219262,Debit,2028-01-18,296,Active
146,2391491592003534,Debit,2031-06-13,464,Active
147,6464670328230743,Debit,2031-03-17,970,Active
148,8098593254317978,Debit,2028-12-06,591,Active
149,0548060224155646,Debit,2029-10-28,132,Active
150,9084724258370969,Debit,2031-07-22,872,Active
151,8468109778142339,Debit,2029-01-17,948,Active
152,1710221648038958,Debit,2029-06-18,220,Active
153,5342748360313159,Credit,2028-08-23,823,Active
154,6415602474486579,Debit,2031-11-23,814,Active
155,6829011134574390,Debit,2027-07-26,122,Active
156,6596750625553446,Debit,2030-01-15,192,Active
157,1717843243447453,Debit,2029-07-28,713,Active
158,0722031758946970,Debit,2030-01-26,981,Active
159,3487084367360280,Debit,2030-07-25,553,Active
160,5085247952804723,Debit,2028-02-08,431,Active
161,2025123695456339,Debit,2028-12-21,409,Active
162,1335475990708021,Credit,2027-12-21,566,Active
163,3923200156881972,Debit,2031-09-05,408,Active
164,7601840816460227,Debit,2029-07-03,601,Active
165,8661210101848495,Debit,2031-09-27,462,Active
166,5016943653628471,Credit,2031-07-26,385,Active
167,6431449823929509,Debit,2030-09-22,541,Active
168,2996071822536413,Debit,2030-08-16,922,Active
169,2548850244322209,Debit,2028-01-13,268,Active
170,6801622700170112,Debit,2030-07-31,243,Active
171,1703349927410954,Debit,2028-09-30,590,Active
172,2397827479275481,Credit,2030-10-05,931,Blocked
173,4359212030212000,Debit,2030-11-22,586,Active
174,8259218283597848,Debit,2031-10-20,782,Active
175,5725870020612439,Debit,2030-10-30,207,Active
176,0457912835574790,Debit,2029-12-23,410,Active
177,2647893840847709,Debit,2031-05-25,977,Active
178,2208909697273686,Debit,2030-10-20,682,Active
179,1931656089911456,Debit,2029-11-19,821,Active
180,6153857202517771,Debit,2031-12-11,825,Active
181,6520723244755626,Debit,2027-04-28,392,Active
182,3287061310077367,Credit,2028-10-19,101,Active
183,0441777457022475,Debit,2029-05-18,651,Active
184,1704117945696909,Debit,2030-01-30,357,Active
185,1786884704544027,Debit,2031-12-18,622,Active
186,2515185436017427,Debit,2027-12-01,324,Active
187,5953244256348122,Credit,2030-06-12,247,Active
188,2507816349883918,Debit,2030-01-21,576,Blocked
189,5088549254730133,Debit,2031-09-22,388,Active
190,9084424876330114,Debit,2031-08-05,787,Active
191,7355469061715462,Debit,2029-07-28,577,Blocked
192,4430308688255649,Debit,2031-11-11,976,Active
193,4136899657473170,Debit,2027-05-19,488,Active
194,9822493383643835,Debit,2030-01-02,313,Active
195,4318668148702022,Debit,2027-06-07,394,Active
196,4323901919211755,Debit,2028-06-21,614,Active
197,8390768779978204,Debit,2029-08-29,639,Active
198,4149560000155173,Debit,2031-11-08,479,Active
199,0130077931738088,Credit,2028-10-12,458,Active
200,5138738960398334,Debit,2029-12-25,501,Active
201,2733607495185325,Debit,2030-05-20,955,Blocked
202,7129519266589200,Debit,2027-11-26,210,Active
203,1909520107227786,Credit,2030-07-15,542,Active
204,2787739790711031,Debit,2027-08-28,163,Active
205,0254925297321136,Debit,2029-02-18,199,Active
206,1810732465429311,Debit,2029-04-28,863,Active
207,1842870700767774,Debit,2027-02-11,991,Active
208,0894054234949617,Debit,2029-12-07,791,Active
209,7328755713913665,Debit,2031-05-30,109,Blocked
210,0851712311296450,Debit,2028-05-21,605,Active
211,7524514997245865,Credit,2028-08-26,863,Active
212,5922456330319505,Credit,2031-08-08,645,Active
213,8910249997406622,Debit,2031-04-01,774,Active
214,5020203690879072,Debit,2027-04-15,915,Active
215,8620278129281357,Credit,2027-11-22,889,Active
216,7304297928964036,Debit,2029-04-30,431,Active
217,3238470988795613,Debit,2028-10-27,921,Active
218,0005666312431678,Credit,2028-04-02,149,Active
219,5750399970613739,Debit,2031-12-01,137,Active
220,4973763697457521,Debit,2031-11-30,501,Active
221,5028108289979232,Debit,2028-09-28,465,Active
222,0316767669493264,Credit,2029-09-15,238,Active
223,9834856603082648,Debit,2027-09-29,777,Active
224,7421305447335831,Debit,2028-08-02,463,Active
225,2185823402259540,Debit,2028-10-08,135,Active
226,9044390042771873,Credit,2031-04-15,167,Active
227,4882078215549057,Credit,2027-03-06,701,Active
228,1834239307280897,Credit,2031-05-14,357,Active
229,8030849076840081,Debit,2028-03-05,582,Active
230,8314267705672600,Debit,2031-08-20,187,Active
231,7952133251290855,Debit,2027-12-19,196,Active
232,0868603856590376,Debit,2027-09-14,407,Active
233,0047489679825385,Debit,2029-11-25,120,Active
234,5233102990748269,Debit,2029-08-09,277,Active
235,4561818668563643,Credit,2029-01-08,624,Active
236,4154894608204837,Debit,2027-10-16,235,Active
237,4989552578352376,Debit,2027-04-01,810,Active
238,6466395698550354,Debit,2027-06-02,246,Active
239,2735832448907665,Debit,2031-10-11,463,Active
240,7988848176651844,Debit,2030-03-02,918,Active
241,9473474470150635,Debit,2027-09-03,379,Active
242,1232425300447918,Credit,2028-07-21,412,Active
243,6293846468215769,Debit,2031-08-05,103,Active
244,2159894864639719,Credit,2031-03-18,554,Active
245,2760700311456330,Debit,2029-02-21,176,Active
246,5243388025612879,Debit,2030-06-01,486,Active
247,4831819203708089,Debit,2029-05-31,524,Active
248,1066316806395493,Debit,2029-04-08,236,Active
249,4379228840214419,Credit,2031-10-14,250,Active
250,5029516590044842,Credit,2027-06-06,570,Active
251,7052943534659704,Debit,2027-12-14,777,Active
252,6681240918767692,Credit,2030-01-27,740,Active
253,2990683484968940,Debit,2028-09-26,396,Active
254,0900068008572203,Debit,2028-06-15,409,Active
255,3631451286441226,Credit,2029-07-14,487,Active
256,2004530990070831,Debit,2031-08-09,130,Active
257,4632246782930415,Credit,2029-09-19,864,Active
258,2324767205640403,Debit,2028-11-06,829,Active
259,5093738525446929,Debit,2028-05-21,631,Active
260,5042649209673498,Debit,2029-10-22,114,Active
261,9007612693635638,Credit,2028-04-18,530,Active
262,8924467899955206,Debit,2028-07-20,407,Active
263,9928111093159670,Debit,2031-03-14,729,Active
264,7643597805831542,Debit,2028-05-13,764,Active
265,5182606057368765,Debit,2029-11-09,743,Active
266,9088954599587444,Debit,2028-04-06,959,Active
267,5454237089870820,Debit,2027-11-08,748,Active
268,7104026773094190,Credit,2028-11-05,121,Blocked
269,1623676477378478,Debit,2028-12-17,359,Active
270,2094962287791161,Debit,2031-03-23,661,Active
271,3486669594267098,Debit,2030-01-20,220,Active
272,9197816986189029,Debit,2027-10-17,722,Active
273,7676078522270812,Debit,2030-04-04,322,Active
274,5457626980909187,Credit,2030-09-02,212,Active
275,4058896333374189,Debit,2030-02-25,593,Active
276,9783004138857238,Debit,2027-08-19,902,Active
277,5543579985069143,Debit,2031-08-16,339,Active
278,2135671247994024,Debit,2029-07-04,140,Active
279,0765704543874946,Debit,2028-05-25,568,Active
280,7882098478883847,Credit,2027-04-19,370,Active
281,9787119368983307,Debit,2030-03-19,282,Active
282,6207767483267378,Debit,2029-09-30,769,Active
283,4917718712023159,Credit,2030-02-22,558,Active
284,6434079721670472,Debit,2027-04-07,404,Active
285,7296637230947581,Debit,2029-10-28,161,Active
286,5457261701284000,Debit,2031-01-04,442,Active
287,8083008875286537,Debit,2030-10-05,655,Active
288,9832281587606933,Debit,2028-09-12,838,Active
289,0341917776362316,Credit,2031-10-05,204,Active
290,7133871157298111,Debit,2029-05-04,787,Active
291,8443661685206755,Debit,2031-05-27,267,Active
292,5325117429318138,Credit,2031-05-14,196,Active
293,3352467699130143,Debit,2029-10-01,129,Active
294,8451064301521510,Credit,2027-07-21,326,Blocked
295,8068488653660369,Credit,2030-09-06,508,Active
296,3694017481203370,Credit,2027-08-05,252,Active
297,7302368894149387,Debit,2027-01-18,416,Active
298,8222092116225769,Debit,2027-07-14,128,Active
299,7207513356143119,Debit,2031-06-19,621,Active
300,1559939393437729,Debit,2030-09-24,860,Active
301,0501867112793381,Debit,2030-09-12,205,Active
302,2774126662144525,Debit,2030-04-13,468,Active
303,5440216116291093,Debit,2031-10-04,383,Active
304,8764879445040676,Debit,2028-08-06,971,Active
305,6653637106711114,Credit,2029-11-24,882,Active
306,5369581958223413,Debit,2031-05-18,121,Active
307,7687235695718226,Debit,2028-06-17,262,Active
308,0340827618844905,Debit,2029-05-29,604,Active
309,6792361340611272,Debit,2027-01-26,296,Active
310,6895831678292177,Debit,2028-06-15,319,Active
311,3072983799469549,Debit,2030-12-22,957,Active
312,1202924859084958,Debit,2029-12-06,834,Active
313,3559487782505468,Debit,2028-03-02,554,Active
314,5028567978346985,Credit,2028-02-21,525,Active
315,0019345646370732,Debit,2028-02-06,117,Active
316,3472010237407149,Debit,2030-07-05,729,Active
317,9040743178768883,Debit,2027-11-26,538,Active
318,3907647146052081,Debit,2030-09-03,194,Active
319,2141403208179125,Debit,2031-08-07,970,Active
320,6572607870766297,Debit,2031-09-14,336,Active
321,6453626678558844,Debit,2029-02-19,609,Active
322,9521952380728302,Credit,2031-07-28,951,Active
323,9064782861203534,Debit,2029-07-01,318,Active
324,0607098466505298,Debit,2030-01-25,880,Active
325,6642284875785563,Debit,2028-07-08,404,Active
326,6554902480464658,Debit,2031-01-31,301,Active
327,5695121504140270,Debit,2027-11-23,193,Active
328,8352684113388265,Debit,2030-09-21,928,Blocked
329,8552372346626919,Debit,2028-10-08,679,Active
330,4008115948897882,Credit,2031-02-09,629,Active
331,3289819252136680,Credit,2028-09-14,485,Active
332,2070012848308500,Debit,2031-05-14,248,Active
333,0683672972247835,Debit,2027-11-27,763,Active
334,1549363458953084,Debit,2027-12-09,624,Active
335,1938816222964599,Debit,2030-06-03,257,Active
336,7467822780037358,Debit,2030-07-22,887,Active
337,9168159139281381,Debit,2030-02-01,410,Active
338,2797591299315480,Debit,2031-08-13,233,Active
339,2909194490657243,Credit,2030-06-23,105,Active
340,0793131983836926,Debit,2027-07-17,416,Active
341,3486251374692184,Credit,2030-01-20,783,Active
342,4437903921560471,Debit,2028-11-20,380,Active
343,7127025348791051,Debit,2027-03-12,233,Active
344,3004666154540255,Debit,2031-03-04,959,Active
345,0415413965864119,Credit,2028-04-21,458,Active
346,3467547442356475,Debit,2029-12-17,708,Active
347,5710685533970260,Debit,2028-06-15,324,Active
348,1485406351825590,Debit,2029-10-28,807,Active
349,0216134267503370,Debit,2030-07-18,459,Active
350,6541455929203134,Credit,2028-01-10,876,Active
351,5692529572713012,Debit,2031-01-15,540,Active
352,0709654925673179,Debit,2029-02-23,991,Active
353,4315642874091949,Credit,2028-08-26,627,Active
354,2328877875420116,Debit,2030-06-19,138,Active
355,9575325000045749,Debit,2028-06-07,313,Active
356,8532580713455603,Debit,2030-02-09,341,Active
357,9206388448047706,Debit,2028-09-06,593,Active
358,3039311624617393,Debit,2028-09-09,733,Active
359,1295938534074980,Debit,2031-05-23,546,Active
360,3357045863839070,Credit,2030-04-17,692,Active
361,8263255465091492,Debit,2029-04-16,748,Active
362,8231092222231153,Debit,2030-08-20,447,Active
363,4505659720475085,Debit,2029-08-10,942,Active
364,6933596535045861,Debit,2031-04-30,928,Active
365,1342433062060120,Credit,2031-09-11,143,Active
366,5618752304596586,Credit,2030-02-05,415,Active
367,9120255242484323,Credit,2028-03-29,187,Active
368,2137060712456555,Debit,2028-04-20,322,Active
369,2504064341720892,Debit,2027-02-23,804,Active
370,1526831046924233,Credit,2027-11-02,369,Active
371,1647812868723564,Debit,2029-10-01,669,Active
372,5354423595869135,Debit,2028-12-06,461,Active
373,7539080170989720,Debit,2029-01-13,495,Active
374,8548559999600065,Debit,2029-04-07,169,Active
375,7584507089597657,Debit,2028-08-26,498,Active
376,0734239184259557,Credit,2028-09-18,564,Active
377,1883992103358288,Debit,2028-01-07,233,Active
378,2268341340225876,Debit,2031-01-08,761,Active
379,2529006986768337,Credit,2027-02-02,801,Active
380,3426074215569105,Debit,2030-06-21,940,Active
381,1354372321751187,Debit,2030-09-12,887,Active
382,4240166568505646,Debit,2029-08-29,401,Active
383,9802942221068639,Debit,2029-08-20,695,Active
384,9913324453389828,Debit,2027-07-28,688,Active
385,6862441154825941,Debit,2031-12-06,555,Active
386,8982926161770569,Debit,2031-06-20,625,Active
387,7769730061285635,Debit,2027-09-25,612,Active
388,0867579267077112,Debit,2029-09-20,193,Active
389,9825284816432094,Debit,2030-09-09,468,Active
390,7490123123987515,Debit,2030-05-07,246,Active
391,3098636739409261,Debit,2027-09-22,638,Active
392,2327277794685589,Debit,2027-04-29,299,Active
393,7242780796316887,Debit,2029-07-27,579,Active
394,8617109935404526,Credit,2027-07-19,587,Active
395,0558526802086482,Debit,2031-12-30,146,Active
396,5858488398279728,Credit,2028-03-06,488,Active
397,1313917942209475,Credit,2027-05-19,757,Active
398,4212074402437164,Debit,2028-08-26,610,Active
399,9393826811026831,Credit,2029-02-22,325,Active
400,6390569471354585,Debit,2028-12-26,964,Active
401,7297173360664947,Debit,2029-02-24,806,Active
402,8732857426168771,Debit,2028-07-11,575,Active
403,7242378617482226,Debit,2029-04-29,864,Active
404,5382026438452105,Credit,2031-01-03,447,Active
405,5710726578001504,Debit,2030-08-06,274,Active
406,4942664772241320,Debit,2031-01-29,881,Active
407,4526807857380208,Debit,2030-11-30,157,Active
408,7300326474049822,Credit,2028-02-22,922,Active
409,9528691016838912,Debit,2029-06-22,209,Active
410,0735737229150648,Debit,2031-12-21,956,Active
411,8390632952583460,Debit,2031-02-11,885,Active
412,9509916050201161,Debit,2028-03-25,339,Active
413,8610818056235983,Debit,2029-10-30,650,Active
414,4895091537917366,Debit,2029-02-20,914,Active
415,6174254068586124,Debit,2031-03-30,705,Active
416,6056067656557494,Debit,2030-08-31,707,Active
417,3568229747381491,Debit,2027-01-28,829,Active
418,7347956104465378,Debit,2028-01-05,486,Active
419,7823228517831674,Debit,2030-06-05,462,Active
420,0996457439397181,Debit,2030-04-01,305,Active
421,2496556875673498,Debit,2027-06-30,910,Active
422,9853009403427172,Debit,2027-05-21,375,Active
423,1798928565267473,Credit,2028-05-10,430,Active
424,3606233056838451,Credit,2031-04-01,824,Active
425,0133169514500974,Debit,2028-04-28,439,Active
426,0986659360350763,Debit,2029-08-13,913,Active
427,3273461925377638,Debit,2031-08-14,623,Active
428,2003740824344328,Debit,2031-04-02,340,Active
429,1011632091022004,Debit,2028-06-06,753,Active
430,0979680939562815,Credit,2029-07-15,371,Active
431,4139159164557049,Debit,2030-04-01,793,Active
432,3684333680142175,Debit,2027-02-24,375,Active
433,4076369127532505,Credit,2028-04-22,237,Active
434,9937006803701948,Debit,2029-01-11,960,Active
435,9166186496017145,Debit,2030-12-09,246,Active
436,8999026354347571,Debit,2027-07-24,114,Active
437,9636641604651654,Debit,2029-12-18,758,Active
438,4817118851787847,Debit,2027-04-23,204,Active
439,3556822687917767,Debit,2031-06-27,837,Active
440,0491668996498079,Debit,2028-04-01,835,Active
441,2811433692284807,Credit,2028-05-07,312,Active
442,8028011827978325,Credit,2027-09-17,931,Active
443,8810559737063381,Credit,2031-12-05,277,Active
444,5566736077166107,Debit,2030-12-12,389,Active
445,5014154077813932,Debit,2028-08-05,438,Active
446,9872963493655014,Debit,2028-05-04,312,Active
447,8272339550401914,Debit,2029-01-19,818,Active
448,1351835927638548,Debit,2027-04-13,357,Active
449,0996719065711110,Debit,2030-04-08,251,Active
450,2192118789511914,Debit,2028-10-23,314,Active
451,4134903960568624,Debit,2029-01-03,756,Active
452,4431474946355405,Debit,2031-01-16,969,Active
453,8174004971984418,Credit,2028-08-21,908,Active
454,0835873183626615,Debit,2030-08-22,996,Active
455,0506781882426258,Debit,2030-05-03,163,Active
456,6966513791933717,Debit,2029-03-21,347,Active
457,7362788892365961,Debit,2027-03-15,567,Active
458,9186194156604699,Credit,2027-10-29,719,Active
459,5770431268718518,Debit,2031-01-04,511,Active
460,9194444736358204,Debit,2029-07-31,740,Active
461,4992828830388803,Debit,2027-03-11,748,Active
462,5159145969503487,Debit,2029-01-26,585,Active
463,8091628966192694,Debit,2030-10-28,971,Active
464,1690312838367439,Debit,2031-04-24,894,Active
465,1421879086227870,Debit,2030-01-14,879,Active
466,9091505369334779,Credit,2027-10-17,610,Active
467,5268232576262535,Debit,2029-05-23,196,Active
468,7715724296484036,Debit,2028-11-19,304,Active
469,1973152983368107,Debit,2029-05-26,270,Active
470,9416148954313868,Credit,2031-05-18,913,Active
471,0182407568987309,Debit,2029-02-10,524,Active
472,4059016163085904,Debit,2030-08-08,164,Active
473,5718797108235120,Debit,2030-06-14,867,Active
474,5132311246670783,Debit,2027-12-31,928,Active
475,1019912754125933,Debit,2030-06-14,221,Active
476,6602319665258290,Credit,2027-03-14,579,Active
477,3145085411969959,Credit,2030-03-31,870,Active
478,2649748617277208,Debit,2027-12-24,835,Active
479,0266665979318874,Debit,2028-07-18,845,Active
480,2527494752882082,Credit,2028-08-02,506,Active
481,7130357045250321,Credit,2028-12-31,298,Active
482,8005906202949617,Debit,2027-03-03,183,Active
483,6620401754780904,Debit,2031-11-17,618,Active
484,7102352184934442,Debit,2029-10-08,755,Active
485,8894938961549837,Debit,2031-02-12,169,Active
486,2185298044876486,Debit,2030-03-17,882,Active
487,5575820858305545,Debit,2031-11-17,711,Active
488,8402874517371204,Debit,2027-01-25,756,Active
489,6022490118516791,Debit,2030-02-16,330,Active
490,3464887111916204,Debit,2028-02-17,592,Active
491,8074719387152443,Credit,2027-06-02,773,Active
492,4976243476402552,Debit,2030-10-07,765,Active
493,7517800971220744,Debit,2031-03-19,118,Active
494,4466616892052939,Debit,2027-07-05,756,Active
495,4640752987216645,Debit,2030-12-22,519,Active
496,6076701922689388,Debit,2028-10-01,536,Active
497,6485660009007090,Debit,2030-01-05,468,Active
498,0116778989779536,Debit,2027-10-27,687,Active
499,5377848856371048,Credit,2027-06-26,651,Active
500,2196007335050208,Debit,2031-07-19,576,Active
501,0445679063030334,Debit,2027-07-28,968,Active
502,4982488924510044,Debit,2028-09-09,280,Active
503,8189713453462317,Debit,2028-01-27,985,Active
504,4491202475154726,Debit,2029-09-05,746,Active
505,9083356896126248,Debit,2030-10-09,260,Blocked
506,9202513463682005,Debit,2029-05-23,256,Active
507,9777652524623437,Debit,2030-12-20,300,Active
508,4523637846142463,Debit,2030-08-13,654,Active
509,6356453372523183,Debit,2028-10-30,364,Active
510,4216837938189004,Credit,2028-10-09,800,Active
511,2026546088029572,Debit,2030-12-19,451,Active
512,3596828649929374,Debit,2029-02-26,425,Active
513,3728537467711597,Debit,2031-03-22,612,Active
514,9728758232830012,Debit,2027-12-24,533,Active
515,7025087996451679,Debit,2027-12-03,466,Active
516,7993772433083350,Debit,2031-01-25,703,Active
517,0211586116641012,Debit,2029-07-31,539,Active
518,3670938123319210,Credit,2029-04-05,736,Active
519,2090398099927184,Debit,2029-02-20,189,Active
520,5443556532168864,Debit,2030-05-03,621,Active
521,2598307903682858,Debit,2028-02-14,484,Active
522,8596154981878183,Debit,2028-08-14,646,Active
523,5071896440043981,Credit,2030-05-11,221,Active
524,2361850976590695,Credit,2029-11-21,974,Active
525,1972723475086496,Credit,2029-04-25,122,Active
526,2825562169730882,Debit,2028-09-03,824,Active
527,0044902608380631,Debit,2028-09-26,197,Active
528,4106906148589828,Debit,2028-10-12,657,Active
529,2850624668803776,Credit,2028-03-01,570,Active
530,8648038076267632,Credit,2027-05-11,355,Active
531,6446980165210606,Debit,2029-01-19,276,Active
532,7501467307598039,Debit,2029-01-07,716,Active
533,5798784788642179,Debit,2030-11-08,126,Active
534,3002915329851733,Debit,2030-02-17,640,Active
535,8141396949292731,Credit,2030-07-06,205,Active
536,2778366898243996,Debit,2031-01-19,117,Active
537,3793028646958647,Credit,2028-05-04,234,Active
538,0427161273370001,Credit,2030-05-31,990,Active
539,1427873611605134,Debit,2028-05-07,623,Active
540,5341646576409396,Debit,2031-02-11,397,Active
541,9237357398442595,Credit,2027-08-15,182,Active
542,8366278673668041,Credit,2027-07-25,294,Blocked
543,2972352285864213,Debit,2030-07-29,663,Active
544,1830163241751231,Credit,2030-07-05,468,Active
545,5064364308743654,Credit,2027-11-15,187,Active
546,2036716881252078,Debit,2028-02-23,434,Active
547,6120534712680243,Debit,2030-12-20,669,Active
548,8288530056039945,Debit,2029-07-11,318,Active
549,5992850750189342,Debit,2031-06-21,243,Active
550,5414837318878287,Debit,2028-07-15,203,Active
551,2261136186150685,Credit,2027-01-11,325,Active
552,7520245468771273,Debit,2029-08-20,650,Active
553,2856208937922698,Debit,2031-08-09,458,Active
554,6088104334940625,Debit,2030-04-29,290,Active
555,3560193568047315,Credit,2027-10-05,162,Active
556,6665694809471038,Credit,2027-10-28,250,Active
